Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\mountains of  auvergne.jpg,374,250,"(72, 72)"
D:/Thesis/realism_data/realism\mountain landscape near fontainebleau.jpg,576,436,"(96, 96)"
D:/Thesis/realism_data/realism\musician.jpg,768,494,"(0, 0)"
"D:/Thesis/realism_data/realism\mó-sho-la-túb-bee, he who puts out and kills, chief of the tribe.jpg",1064,1320,"(72, 72)"
D:/Thesis/realism_data/realism\napoleon iii at the battle of solferino.jpg,1359,795,"(96, 96)"
"D:/Thesis/realism_data/realism\near rotterdam, small houses on the banks of a canal.jpg",1034,624,
D:/Thesis/realism_data/realism\near rotterdam.jpg,536,800,"(96, 96)"
"D:/Thesis/realism_data/realism\nemi, the lake's edge.jpg",986,633,
"D:/Thesis/realism_data/realism\nicolas soult, marshal of france.jpg",396,512,
D:/Thesis/realism_data/realism\nocturnal celebrations in via eugenia at venice.jpg,1060,650,"(300, 300)"
D:/Thesis/realism_data/realism\nude woman reclining on a couch.jpg,2000,1642,"(96, 96)"
D:/Thesis/realism_data/realism\obolenskaya na.jpg,439,550,
D:/Thesis/realism_data/realism\octave chamouillet pushing a wheelbarrow in a garden.jpg,585,800,"(96, 96)"
D:/Thesis/realism_data/realism\odilon barrot.jpg,368,512,"(72, 72)"
D:/Thesis/realism_data/realism\oedipus taken down from the tree.jpg,446,768,
D:/Thesis/realism_data/realism\officer and his orderly.jpg,493,600,"(96, 96)"
D:/Thesis/realism_data/realism\old 76 and young 48.jpg,1800,1417,"(300, 300)"
D:/Thesis/realism_data/realism\old beggar.jpg,960,1300,"(72, 72)"
D:/Thesis/realism_data/realism\old molokan in a light shirt.jpg,287,400,"(0, 0)"
D:/Thesis/realism_data/realism\old pine.jpg,781,1000,
"D:/Thesis/realism_data/realism\olevano, la serpentara.jpg",1077,780,
"D:/Thesis/realism_data/realism\olevano, the town and the rocks.jpg",1077,650,
D:/Thesis/realism_data/realism\on lake brienz.jpg,4699,3344,
D:/Thesis/realism_data/realism\on the shore.jpg,2024,2809,"(72, 72)"
"D:/Thesis/realism_data/realism\opening ceremony of the hungarian parliament, 5 july 1848.jpg",1540,1030,"(299.999, 299.999)"
"D:/Thesis/realism_data/realism\orleans, view from a window overlooking the saint peterne tower.jpg",901,636,
D:/Thesis/realism_data/realism\osage warrior of the wha-sha-she band a subdivision of hunkah.jpg,339,416,"(72, 72)"
D:/Thesis/realism_data/realism\pagnerre.jpg,368,512,"(72, 72)"
D:/Thesis/realism_data/realism\panoramic landscape on the outskirts of paris.jpg,1294,509,
D:/Thesis/realism_data/realism\panoramic landscape.jpg,1294,637,
D:/Thesis/realism_data/realism\paul de kock. the big city.jpg,662,650,"(96, 96)"
D:/Thesis/realism_data/realism\peasant boy putting on bast sandals.jpg,430,595,"(72, 72)"
D:/Thesis/realism_data/realism\peasant boy.jpg,341,550,"(72, 72)"
D:/Thesis/realism_data/realism\peasant children in the field.jpg,471,599,"(72, 72)"
D:/Thesis/realism_data/realism\peasant family and monks with animals near a church.jpg,976,833,"(96, 96)"
D:/Thesis/realism_data/realism\peasant girl with a sickle in the rye.jpg,1400,1844,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\peasant girl with butterflies.jpg,484,600,"(96, 96)"
D:/Thesis/realism_data/realism\peasant woman with milk.jpg,538,687,"(96, 96)"
D:/Thesis/realism_data/realism\peasants hut.jpg,1000,764,"(0, 0)"
D:/Thesis/realism_data/realism\peasants near a church.jpg,1023,759,"(72, 72)"
"D:/Thesis/realism_data/realism\peasants under the trees at dawn, morvan.jpg",964,685,
D:/Thesis/realism_data/realism\peeling beets.jpg,755,612,"(72, 72)"
D:/Thesis/realism_data/realism\penelopa's dream.jpg,402,600,"(96, 96)"
D:/Thesis/realism_data/realism\petersburg patio.jpg,806,1000,
D:/Thesis/realism_data/realism\pierre joseph proudhon and his children in 1853.jpg,1000,750,"(300, 300)"
"D:/Thesis/realism_data/realism\pierre-paul rover collard, deputy.jpg",522,650,"(96, 96)"
D:/Thesis/realism_data/realism\pierrot dancing.jpg,621,817,"(350, 350)"
D:/Thesis/realism_data/realism\pine.jpg,623,1000,
"D:/Thesis/realism_data/realism\pines, adjacent to the root of the barrel.jpg",1000,970,
D:/Thesis/realism_data/realism\pipers in front of a kiosk at the theater of marcellus.jpg,480,342,"(96, 96)"
D:/Thesis/realism_data/realism\pisa. view of the baptistery and the cathedral.jpg,750,480,"(96, 96)"
D:/Thesis/realism_data/realism\ploughing scene.jpg,1800,1099,"(0, 0)"
D:/Thesis/realism_data/realism\plowing in the nivernais.jpg,5414,2769,
D:/Thesis/realism_data/realism\poet composing a classical eclogue on the quiet country life.jpg,1133,1253,"(300, 300)"
"D:/Thesis/realism_data/realism\policeman bridge in the 1830s, now green bridge.jpg",2514,1908,"(300, 300)"
D:/Thesis/realism_data/realism\politics in an oyster house.jpg,1476,1799,"(300, 300)"
D:/Thesis/realism_data/realism\ponte nomentano.jpg,807,512,"(72, 72)"
D:/Thesis/realism_data/realism\popolani in prayer at s.maria del carmine in piazza costaguti.jpg,780,614,"(198, 198)"
D:/Thesis/realism_data/realism\portrait #2.jpg,587,800,"(0, 0)"
D:/Thesis/realism_data/realism\portrait l.k. makovsky.jpg,488,579,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of  n. p. chernyshova.jpg,446,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of a gentleman.jpg,2398,3000,"(600, 600)"
D:/Thesis/realism_data/realism\portrait of a girl.jpg,427,593,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of a kleptomaniac.jpg,562,700,"(70, 70)"
D:/Thesis/realism_data/realism\portrait of a p.i. sapozhnikova.jpg,604,800,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of a peasant girl.jpg,300,400,
D:/Thesis/realism_data/realism\portrait of a seated woman.jpg,1393,1800,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of a widow in a blue povoynik.jpg,466,600,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of a. a. venetsianova.jpg,529,700,
D:/Thesis/realism_data/realism\portrait of a. i. tropinina.jpg,1056,1300,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of a. p. zhdanovich.jpg,432,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of a.e. arkhipov.jpg,556,772,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of alphonse promayet.jpg,500,650,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of amalia legrand.jpg,488,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of an art lover.jpg,1181,1693,"(300, 300)"
"D:/Thesis/realism_data/realism\portrait of an elderly gentleman wearing a black overcoat, white shirt and a necktie.jpg",384,470,
D:/Thesis/realism_data/realism\portrait of an official.jpg,406,538,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of an unknown in a black coat verevkina.jpg,862,1120,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of anna zhdanovich.jpg,445,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of armand ono.jpg,2024,2507,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of artist's daughters alexandra and felisata.jpg,477,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of august semeleder.jpg,2179,2665,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of charles baudelaire.jpg,2024,1688,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of countess n. a. zubova.jpg,1400,1908,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of diego martelli.jpg,1280,969,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of e.p. rostopchin. etude.jpg,1016,1300,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of eugene canoville.jpg,836,1000,"(150, 150)"
D:/Thesis/realism_data/realism\portrait of f. ye. yakovlev.jpg,530,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of ferenc imrédy.jpg,812,1024,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\portrait of giuseppe abbati.jpg,719,1260,
D:/Thesis/realism_data/realism\portrait of javain mayor of cherbourg.jpg,1352,1675,"(72, 72)"
"D:/Thesis/realism_data/realism\portrait of jo, the beautiful irish girl.jpg",946,805,"(350, 350)"
D:/Thesis/realism_data/realism\portrait of john everett millais.jpg,2400,3163,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of jules valles.jpg,800,1005,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of juliette courbet as a sleeping child.jpg,800,589,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of józsef borsos.jpg,701,879,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of laurent denis sennegon.jpg,601,690,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of lieutenant lvov.jpg,474,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of m. m. philosophova.jpg,801,943,"(300, 300)"
D:/Thesis/realism_data/realism\portrait of m. m. rodivanovsky.jpg,507,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of m. p. zhdanovich.jpg,499,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of m. ye. shishmareva.jpg,462,600,"(96, 96)"
"D:/Thesis/realism_data/realism\portrait of madame langeron, four years old.jpg",708,901,
D:/Thesis/realism_data/realism\portrait of marfa venetsianova.jpg,400,540,
D:/Thesis/realism_data/realism\portrait of menzel's brother richard.jpg,841,1024,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of mlle. l.l. young lady in a red jacket.jpg,1976,2552,"(266, 266)"
D:/Thesis/realism_data/realism\portrait of n. p. zhdanovich as a child.jpg,483,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of nadezhda p. zhdanovich at the piano.jpg,504,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of nastya havskaya.jpg,406,596,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of nikolay karamzin.jpg,499,600,"(96, 96)"
"D:/Thesis/realism_data/realism\portrait of nikolay o.ge, artist's father.jpg",525,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of o. p. zhdanovich.jpg,467,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of octavie sennegon.jpg,1576,1997,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of olga ivanovna and fedor ivanov.jpg,432,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of olga ivanovna demonkala.jpg,448,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of p. i. milyukov.jpg,420,603,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of p. p. zhdanovich.jpg,442,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of p. v. zhdanovich.jpg,445,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of p.v. havskoy.jpg,472,599,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of painter józsef borsos.jpg,950,1237,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of panaev's children.jpg,551,700,
D:/Thesis/realism_data/realism\portrait of paul johann ludwig von heyse.jpg,669,1023,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of peter i.jpg,564,714,"(100, 100)"
D:/Thesis/realism_data/realism\portrait of pierre joseph proudhon.jpg,892,1128,
D:/Thesis/realism_data/realism\portrait of prosper marilhat.jpg,435,571,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of russian baritone opera singer gennady kondratiev.jpg,757,800,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of s. s. krylov.jpg,438,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of second captain vannovsky.jpg,479,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of the actor v. a. karatyghin.jpg,984,1300,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of the artist illarion prianishnikov.jpg,768,985,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\portrait of the artist's father leonard-sebastien boudin.jpg,565,774,"(1, 1)"
D:/Thesis/realism_data/realism\portrait of the artist's sister vatropinin.jpg,1257,1600,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of the merchant obraztsov.jpg,432,550,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of the merchant's wife obraztsova.jpg,464,600,"(96, 96)"
"D:/Thesis/realism_data/realism\portrait of the state chancellor of the internal affairs, prince victor pavlovich kochubey in his study.jpg",468,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of vladimir artemyevitch rajewski.jpg,878,1120,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of ye. g. flug.jpg,448,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of ye. p. zhdanovich.jpg,443,600,"(96, 96)"
D:/Thesis/realism_data/realism\portrait of zélie courbet.jpg,598,711,"(72, 72)"
D:/Thesis/realism_data/realism\portrait of evdokiya nikolaevna kostycheva.jpg,600,764,
D:/Thesis/realism_data/realism\portret of l.a. stromilova.jpg,428,593,"(72, 72)"
D:/Thesis/realism_data/realism\portret of v.s. putyatina.jpg,456,590,"(72, 72)"
D:/Thesis/realism_data/realism\procession on easter.jpg,1093,753,"(72, 72)"
D:/Thesis/realism_data/realism\project to raise a statue to odilon nimrod.jpg,371,512,"(72, 72)"
D:/Thesis/realism_data/realism\purple and rose the lang leizen of the six marks.jpg,667,1000,"(310, 310)"
D:/Thesis/realism_data/realism\pygmalion.jpg,403,600,"(96, 96)"
D:/Thesis/realism_data/realism\quarry of the chaise marie at fontainebleau.jpg,1031,572,
D:/Thesis/realism_data/realism\ratapoil.jpg,1186,2991,"(300, 300)"
D:/Thesis/realism_data/realism\reaper.jpg,753,935,
D:/Thesis/realism_data/realism\remembrances of st. pelagie. souvenir de ste pélagie.jpg,478,621,"(600, 600)"
D:/Thesis/realism_data/realism\repose.jpg,800,531,"(72, 72)"
D:/Thesis/realism_data/realism\resting soldiers in the hungarian campaign.jpg,866,1024,"(600, 600)"
D:/Thesis/realism_data/realism\return from the ottobrata excursion.jpg,938,663,"(96, 96)"
D:/Thesis/realism_data/realism\reverie.jpg,812,976,"(0, 0)"
D:/Thesis/realism_data/realism\river and cliff.jpg,968,811,"(350, 350)"
D:/Thesis/realism_data/realism\road in the wood.jpg,1024,851,"(0, 0)"
D:/Thesis/realism_data/realism\road through wooded mountains.jpg,903,608,
D:/Thesis/realism_data/realism\robert macaire business men.jpg,1027,1319,"(300, 300)"
D:/Thesis/realism_data/realism\rocks at civita castellana.jpg,542,687,"(72, 72)"
D:/Thesis/realism_data/realism\rocks in amalfi.jpg,1600,1200,"(72, 72)"
D:/Thesis/realism_data/realism\roman countryside rocky valley with a herd of pigs.jpg,855,546,"(350, 350)"
D:/Thesis/realism_data/realism\rome - view from the farnese gardens.jpg,1058,611,
D:/Thesis/realism_data/realism\rome in the morning.jpg,693,593,"(600, 600)"
"D:/Thesis/realism_data/realism\rome, castle sant angelo.jpg",4646,2570,
"D:/Thesis/realism_data/realism\rome, the basilica of constantine.jpg",1000,620,
"D:/Thesis/realism_data/realism\rome, the trinita dei monti view from the gardens of the academie de france.jpg",1030,673,
D:/Thesis/realism_data/realism\rouen seen from hills overlooking the city.jpg,901,539,
D:/Thesis/realism_data/realism\ruins of saint bavo's abbey in ghent.jpg,318,400,"(95.9866, 95.9866)"
D:/Thesis/realism_data/realism\running dogs.jpg,3294,2454,"(600, 600)"
D:/Thesis/realism_data/realism\s. d. shishmarev on  board the ship.jpg,465,600,"(96, 96)"
D:/Thesis/realism_data/realism\saint andre en morvan.jpg,1920,938,"(96, 96)"
D:/Thesis/realism_data/realism\san dionigi alle quattro fontane.jpg,1024,820,"(180, 180)"
D:/Thesis/realism_data/realism\scene of cannibalism for the raft of the medusa.jpg,758,560,"(96, 96)"
D:/Thesis/realism_data/realism\school for peasants children in verkiai.jpg,900,622,"(150, 150)"
D:/Thesis/realism_data/realism\sea shore in the vicinity oranienbaum.jpg,1000,627,
D:/Thesis/realism_data/realism\seascape.jpg,955,638,"(350, 350)"
"D:/Thesis/realism_data/realism\see-non-ty-a, an iowa medicine man.jpg",1149,1520,"(72, 72)"
D:/Thesis/realism_data/realism\self portrait.jpg,1917,2630,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\self-portrait with striped collar.jpg,871,1050,
D:/Thesis/realism_data/realism\self-portrait.jpg,300,409,"(96, 96)"
D:/Thesis/realism_data/realism\shepherds of arcadia.jpg,1574,1237,"(72, 72)"
D:/Thesis/realism_data/realism\shonka sabe black dog. chief of the hunkah division of the osage tribe.jpg,338,416,"(72, 72)"
D:/Thesis/realism_data/realism\side of the valley of saint-vincent auvergne.jpg,2000,1470,"(0, 0)"
D:/Thesis/realism_data/realism\sitting on cushions dog.jpg,606,491,"(200, 200)"
D:/Thesis/realism_data/realism\sleeping girl.jpg,720,554,"(72, 72)"
D:/Thesis/realism_data/realism\sleeping herd-boy.jpg,1200,887,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\sluice in the optevoz valley.jpg,1129,622,
D:/Thesis/realism_data/realism\small gleaner sitting in the field.jpg,596,750,"(72, 72)"
D:/Thesis/realism_data/realism\snow and fog on the grand canal.jpg,1211,750,"(300, 300)"
D:/Thesis/realism_data/realism\soissons seen from mr. henry's factory.jpg,989,790,
"D:/Thesis/realism_data/realism\soissons, houses and factory of mr. henry.jpg",1086,864,
D:/Thesis/realism_data/realism\spring daphnis and chloë.jpg,2588,3888,"(72, 72)"
D:/Thesis/realism_data/realism\spring.jpg,758,498,"(96, 96)"
D:/Thesis/realism_data/realism\standing italian woman from albano in festive costume.jpg,549,1024,"(300, 300)"
D:/Thesis/realism_data/realism\still life with golden beam.jpg,7782,5539,
"D:/Thesis/realism_data/realism\still life with mallard, prawns and savoy.jpg",1200,950,"(72, 72)"
D:/Thesis/realism_data/realism\stream in auvergne near royat.jpg,480,351,"(0, 0)"
D:/Thesis/realism_data/realism\study of a tree.jpg,300,344,"(0, 0)"
D:/Thesis/realism_data/realism\study of fishing boats.jpg,338,512,
D:/Thesis/realism_data/realism\study of rocks.jpg,540,358,
D:/Thesis/realism_data/realism\study of the seated farmer ''old sepp''.jpg,297,470,"(96, 96)"
D:/Thesis/realism_data/realism\study sheet with heads.jpg,423,470,"(96, 96)"
D:/Thesis/realism_data/realism\study for dead horse.jpg,635,480,
D:/Thesis/realism_data/realism\stumps.jpg,1000,629,
D:/Thesis/realism_data/realism\summer landscape with oaks.jpg,759,1000,
D:/Thesis/realism_data/realism\summer landscape.jpg,1000,706,
D:/Thesis/realism_data/realism\sunday in poissy.jpg,594,424,"(96, 96)"
D:/Thesis/realism_data/realism\sunday.jpg,956,1298,"(72.0, 72.0)"
"D:/Thesis/realism_data/realism\sunrise, banks of the oise.jpg",758,482,"(96, 96)"
D:/Thesis/realism_data/realism\sunset at arbonne.jpg,2560,1644,"(72, 72)"
D:/Thesis/realism_data/realism\sunset on the oise.jpg,758,445,"(96, 96)"
D:/Thesis/realism_data/realism\sunset.jpg,1000,732,
D:/Thesis/realism_data/realism\swiss view.jpg,1000,663,
"D:/Thesis/realism_data/realism\symphony in white, no. 2 the little white girl.jpg",1576,2449,"(72, 72)"
D:/Thesis/realism_data/realism\tea party at mytishchi near moscow.jpg,1600,1439,"(400.0, 400.0)"
D:/Thesis/realism_data/realism\teatime in mytischi near moscow.jpg,1600,1333,"(400.0, 400.0)"
D:/Thesis/realism_data/realism\tenants and owners.jpg,374,512,"(72, 72)"
"D:/Thesis/realism_data/realism\that is, those fathers dinner!.jpg",486,602,"(72, 72)"
D:/Thesis/realism_data/realism\the approaching storm.jpg,1091,690,
"D:/Thesis/realism_data/realism\the arch of constantine and the forum, rome.jpg",496,322,
D:/Thesis/realism_data/realism\the arch of the general headquarters building.jpg,1000,586,"(300, 300)"
D:/Thesis/realism_data/realism\the aristocrat's breakfast.jpg,1400,1770,"(72, 72)"
D:/Thesis/realism_data/realism\the artist's little sister.jpg,507,680,"(72, 72)"
"D:/Thesis/realism_data/realism\the artist, selling old stuff to tatar artist's studio.jpg",1000,834,"(0, 0)"
D:/Thesis/realism_data/realism\the artist’s studio.jpg,1169,682,"(600, 600)"
D:/Thesis/realism_data/realism\the banks of seine.jpg,758,525,"(96, 96)"
D:/Thesis/realism_data/realism\the baptism of christ study.jpg,487,901,
D:/Thesis/realism_data/realism\the barges.jpg,758,436,"(96, 96)"
D:/Thesis/realism_data/realism\the barque of dante copy after delacroix.jpg,800,644,"(72, 72)"
D:/Thesis/realism_data/realism\the basilica of san bartolomeo all'isola.jpg,960,712,"(200, 200)"
D:/Thesis/realism_data/realism\the bather.jpg,507,390,
D:/Thesis/realism_data/realism\the beach at palavas.jpg,941,781,
D:/Thesis/realism_data/realism\the beach at trouville.jpg,3200,1670,"(72, 72)"
D:/Thesis/realism_data/realism\the beach at villerville.jpg,3430,2035,
D:/Thesis/realism_data/realism\the beautiful narcissus.jpg,427,600,"(96, 96)"
D:/Thesis/realism_data/realism\the bellelli family.jpg,2703,2132,"(300, 300)"
D:/Thesis/realism_data/realism\the berlin-potsdam railway.jpg,1241,1024,"(72, 72)"
D:/Thesis/realism_data/realism\the blacksmith and his bride.jpg,576,698,"(350, 350)"
D:/Thesis/realism_data/realism\the board of bellecroix.jpg,600,303,
D:/Thesis/realism_data/realism\the boards of cousin near avallon.jpg,735,477,
D:/Thesis/realism_data/realism\the bridge at narni.jpg,2560,1768,"(72, 72)"
D:/Thesis/realism_data/realism\the burden the laundress.jpg,857,1161,"(300, 300)"
D:/Thesis/realism_data/realism\the burnt meal.jpg,400,539,"(72, 72)"
D:/Thesis/realism_data/realism\the card players.jpg,600,448,
D:/Thesis/realism_data/realism\the carder.jpg,499,600,"(1000, 1000)"
D:/Thesis/realism_data/realism\the charcoal burners.jpg,800,541,"(72, 72)"
D:/Thesis/realism_data/realism\the chateau d ornans.jpg,939,654,
D:/Thesis/realism_data/realism\the cheater.jpg,3232,2363,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\the chimney corner.jpg,824,1001,"(310, 310)"
D:/Thesis/realism_data/realism\the church at lormes.jpg,906,666,
D:/Thesis/realism_data/realism\the coachman leaning on a whip handle.jpg,1064,1300,"(72, 72)"
D:/Thesis/realism_data/realism\the comtesse of valmont.jpg,480,600,"(150, 150)"
D:/Thesis/realism_data/realism\the convent choir.jpg,1000,803,"(600, 600)"
D:/Thesis/realism_data/realism\the dreamer.jpg,525,390,
D:/Thesis/realism_data/realism\the dresser in gruchy.jpg,379,480,"(0, 0)"
"D:/Thesis/realism_data/realism\the duke of valois in his cradle in a lower room of the palais-royal, october 1773.jpg",540,429,"(96, 96)"
D:/Thesis/realism_data/realism\the embouchment of seine.jpg,758,508,"(96, 96)"
"D:/Thesis/realism_data/realism\the facade of the villa d este at tivoli, view from the gardens.jpg",1233,800,"(96, 96)"
D:/Thesis/realism_data/realism\the farm in saint siméon.jpg,434,600,"(96, 96)"
D:/Thesis/realism_data/realism\the farmer with folded arms.jpg,471,599,"(72, 72)"
D:/Thesis/realism_data/realism\the father of the painter georg raab.jpg,3037,3508,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\the fencing lesson.jpg,1280,961,
D:/Thesis/realism_data/realism\the fire.jpg,650,599,"(300, 300)"
"D:/Thesis/realism_data/realism\the fisherman, low tide.jpg",1129,686,
D:/Thesis/realism_data/realism\the flood gate at optevoz.jpg,1576,1162,"(72, 72)"
D:/Thesis/realism_data/realism\the forest in autumn.jpg,1062,718,
D:/Thesis/realism_data/realism\the forest of fontainebleau.jpg,904,609,
D:/Thesis/realism_data/realism\the forum seen from the farnese gardens.jpg,1920,1082,"(96, 96)"
D:/Thesis/realism_data/realism\the fresh cavalier.jpg,3509,4000,"(72, 72)"
D:/Thesis/realism_data/realism\the garden of the loos les lille abbacy.jpg,654,512,
"D:/Thesis/realism_data/realism\the gardens of the villa d'este, tivoli.jpg",900,750,
D:/Thesis/realism_data/realism\the girl in the hayloft.jpg,749,614,"(96, 96)"
D:/Thesis/realism_data/realism\the goatherd of genzano.jpg,928,572,
"D:/Thesis/realism_data/realism\the hamlet of optevoz, in the morning.jpg",580,348,
D:/Thesis/realism_data/realism\the harbour in harfleur.jpg,600,428,
D:/Thesis/realism_data/realism\the harvest.jpg,5806,3933,
D:/Thesis/realism_data/realism\the head of bulldog.jpg,736,650,"(96, 96)"
D:/Thesis/realism_data/realism\the head of white horse.jpg,548,650,"(96, 96)"
D:/Thesis/realism_data/realism\the hill.jpg,500,500,"(96, 96)"
D:/Thesis/realism_data/realism\the homecoming.jpg,872,1099,
D:/Thesis/realism_data/realism\the inn at montigny les cormeilles.jpg,907,656,
D:/Thesis/realism_data/realism\the italian goatherd.jpg,793,1058,
D:/Thesis/realism_data/realism\the kiss.jpg,390,512,
D:/Thesis/realism_data/realism\the lac de nemi.jpg,702,964,"(350, 350)"
D:/Thesis/realism_data/realism\the lacemaker.jpg,1120,1300,"(72, 72)"
D:/Thesis/realism_data/realism\the lamentation.jpg,1327,892,
D:/Thesis/realism_data/realism\the legislative belly.jpg,2090,1375,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\the lightning.jpg,800,1039,"(300, 300)"
"D:/Thesis/realism_data/realism\the madwoman, or the obsession of envy.jpg",603,797,
D:/Thesis/realism_data/realism\the major's marriage proposal.jpg,4000,3103,"(72, 72)"
"D:/Thesis/realism_data/realism\the market at szolnok, hungary.jpg",1370,768,"(300, 300)"
D:/Thesis/realism_data/realism\the market at szolnok.jpg,3200,2083,
D:/Thesis/realism_data/realism\the marsh in the souterraine.jpg,800,610,"(72, 72)"
D:/Thesis/realism_data/realism\the meeting bonjour monsieur courbet.jpg,2024,1742,"(72, 72)"
"D:/Thesis/realism_data/realism\the miller, his son and the donkey.jpg",2148,3088,"(300, 300)"
D:/Thesis/realism_data/realism\the morning after the celebration.jpg,5000,3905,
D:/Thesis/realism_data/realism\the mother superior of the convent of the annonciades.jpg,671,1032,
D:/Thesis/realism_data/realism\the mozzatore after the harvest in rome.jpg,3264,2381,"(95.9866, 95.9866)"
D:/Thesis/realism_data/realism\the nocturnal travellers.jpg,1545,2538,"(300, 300)"
D:/Thesis/realism_data/realism\the nun's parrot.jpg,1000,797,
D:/Thesis/realism_data/realism\the old gardener.jpg,1280,920,"(97, 97)"
D:/Thesis/realism_data/realism\the old man farmer.jpg,936,1300,"(72, 72)"
D:/Thesis/realism_data/realism\the park at st. cloud.jpg,1000,618,"(72, 72)"
D:/Thesis/realism_data/realism\the passer.jpg,630,440,
D:/Thesis/realism_data/realism\the path leading to the house.jpg,2000,1175,
D:/Thesis/realism_data/realism\the paver of the chailly.jpg,970,661,
D:/Thesis/realism_data/realism\the peasants of flagey returning from the fair.jpg,2024,1563,"(72, 72)"
D:/Thesis/realism_data/realism\the pilgrimage to cythera after watteau.jpg,975,731,"(1, 1)"
D:/Thesis/realism_data/realism\the pipers in rome.jpg,929,667,"(96, 96)"
D:/Thesis/realism_data/realism\the players.jpg,2560,2031,"(96, 96)"
D:/Thesis/realism_data/realism\the pond.jpg,737,512,
D:/Thesis/realism_data/realism\the pont de l'estacade.jpg,1316,798,"(300, 300)"
D:/Thesis/realism_data/realism\the pont neuf.jpg,1200,827,"(150, 150)"
D:/Thesis/realism_data/realism\the port of la rochelle.jpg,1064,748,
D:/Thesis/realism_data/realism\the port of ripetta.jpg,720,540,"(72, 72)"
D:/Thesis/realism_data/realism\the princess from the land of porcelain sketch for rose and silver.jpg,1256,2227,"(96, 96)"
D:/Thesis/realism_data/realism\the promenade du poussin roman campagna.jpg,1076,675,
"D:/Thesis/realism_data/realism\the quai des paquis, geneva.jpg",1119,797,
D:/Thesis/realism_data/realism\the raft of the medusa.jpg,1280,874,"(96, 96)"
D:/Thesis/realism_data/realism\the raging one.jpg,1061,864,
D:/Thesis/realism_data/realism\the republic.jpg,2329,3239,"(72.0, 72.0)"
