Filename,Width,Height,DPI Information
"D:/Thesis/realism_data/realism\beautiful injury, want you to accept my arm.jpg",1025,1220,"(300, 300)"
D:/Thesis/realism_data/realism\bell tower of the church of saint paterne at orleans.jpg,650,425,"(72, 72)"
"D:/Thesis/realism_data/realism\benjamin delessert, industrial and mp.jpg",540,650,"(96, 96)"
D:/Thesis/realism_data/realism\blessing of pius ix from the quirinale at night.jpg,1134,730,"(72, 72)"
D:/Thesis/realism_data/realism\blue and silver trouville.jpg,1108,893,"(350, 350)"
D:/Thesis/realism_data/realism\boats on the oise.jpg,758,431,"(96, 96)"
D:/Thesis/realism_data/realism\bogojavlensky anastadjin monastery in kostroma.jpg,567,359,"(72, 72)"
"D:/Thesis/realism_data/realism\boid-guillaumi, near rouen. a gate flanked by two posts.jpg",901,660,
D:/Thesis/realism_data/realism\bombardment of bomarsund.jpg,855,589,"(144, 144)"
"D:/Thesis/realism_data/realism\bombardment of marghera made by the austrian army on the night of may 24, 1849.jpg",1366,726,"(96, 96)"
D:/Thesis/realism_data/realism\boxers.jpg,769,640,"(300, 300)"
D:/Thesis/realism_data/realism\breton peasant woman.jpg,476,689,"(72, 72)"
D:/Thesis/realism_data/realism\bridge on the saône river at mâcon.jpg,3075,2271,"(72, 72)"
D:/Thesis/realism_data/realism\buffalo bull grazing.jpg,760,529,"(72, 72)"
D:/Thesis/realism_data/realism\building site with willows.jpg,1018,768,"(72, 72)"
D:/Thesis/realism_data/realism\bust of a woman.jpg,466,600,"(96, 96)"
D:/Thesis/realism_data/realism\cabins with mill on the river bank.jpg,1462,1200,"(96, 96)"
D:/Thesis/realism_data/realism\calves in a meadow.jpg,624,504,"(72, 72)"
D:/Thesis/realism_data/realism\caprice in purple and gold the golden screen.jpg,1222,887,"(350, 350)"
D:/Thesis/realism_data/realism\carriage from vienna to klosterneuburg.jpg,1940,1086,"(72, 72)"
D:/Thesis/realism_data/realism\cartomancy.jpg,634,800,"(96, 96)"
D:/Thesis/realism_data/realism\changing pastures.jpg,906,576,"(300, 300)"
D:/Thesis/realism_data/realism\charles guillaume etienne.jpg,540,650,"(96, 96)"
D:/Thesis/realism_data/realism\chartres cathedral.jpg,819,1047,
D:/Thesis/realism_data/realism\checkered shawl.jpg,370,512,
D:/Thesis/realism_data/realism\chess players.jpg,1000,784,"(300, 300)"
D:/Thesis/realism_data/realism\child funeral.jpg,1280,775,"(72, 72)"
"D:/Thesis/realism_data/realism\children beside a brook in the countryside, lormes.jpg",800,464,
